model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,run_number,eval_root_mean_squared_error,eval_mean_squared_error,eval_mean_absolute_error,eval_r2,eval_pearsonr,eval_median_absolute_error
WeightedEnsemble_L2,-0.8736147291252179,-0.7976243224088978,root_mean_squared_error,0.11588907241821289,0.06722569465637207,59.81753659248352,0.002410888671875,0.0004200935363769531,0.009888648986816406,2,True,10,1,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetFastAI,-0.8909954439271287,-0.848875800394877,root_mean_squared_error,0.039928436279296875,0.014514446258544922,4.056463956832886,0.039928436279296875,0.014514446258544922,4.056463956832886,1,True,6,1,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetTorch,-0.8931560298608999,-0.8289385372676497,root_mean_squared_error,0.020922422409057617,0.010815620422363281,7.7948527336120605,0.020922422409057617,0.010815620422363281,7.7948527336120605,1,True,8,1,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
CatBoost,-0.8991998097114818,-0.8196499631389951,root_mean_squared_error,0.07268929481506348,0.045044898986816406,50.191993713378906,0.07268929481506348,0.045044898986816406,50.191993713378906,1,True,4,1,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMXT,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.019866466522216797,0.01094508171081543,1.8208014965057373,0.019866466522216797,0.01094508171081543,1.8208014965057373,1,True,1,1,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBM,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.02047896385192871,0.010577201843261719,2.0349478721618652,0.02047896385192871,0.010577201843261719,2.0349478721618652,1,True,2,1,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
RandomForestMSE,-0.90730212772414,-0.8631509685127721,root_mean_squared_error,0.2156226634979248,0.0667572021484375,26.320319890975952,0.2156226634979248,0.0667572021484375,26.320319890975952,1,True,3,1,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
ExtraTreesMSE,-0.9114337318902028,-0.8640229909818908,root_mean_squared_error,0.2331852912902832,0.05647087097167969,18.764819383621216,0.2331852912902832,0.05647087097167969,18.764819383621216,1,True,5,1,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
XGBoost,-0.9342759638327627,-0.8749536470897941,root_mean_squared_error,0.028935909271240234,0.009665250778198242,5.47529149055481,0.028935909271240234,0.009665250778198242,5.47529149055481,1,True,7,1,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMLarge,-0.9570056973598137,-0.9059712574820993,root_mean_squared_error,0.029379844665527344,0.011338949203491211,4.774057865142822,0.029379844665527344,0.011338949203491211,4.774057865142822,1,True,9,1,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
WeightedEnsemble_L2,-0.8736147291252179,-0.7976243224088978,root_mean_squared_error,0.11106252670288086,0.06179451942443848,58.135901927948,0.002397298812866211,0.0003516674041748047,0.008823394775390625,2,True,10,2,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetFastAI,-0.8909954439271287,-0.848875800394877,root_mean_squared_error,0.040137529373168945,0.014504194259643555,3.6967689990997314,0.040137529373168945,0.014504194259643555,3.6967689990997314,1,True,6,2,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetTorch,-0.8931560298608999,-0.8289385372676497,root_mean_squared_error,0.020578861236572266,0.010679244995117188,6.667054176330566,0.020578861236572266,0.010679244995117188,6.667054176330566,1,True,8,2,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
CatBoost,-0.8991998097114818,-0.8196499631389951,root_mean_squared_error,0.06808805465698242,0.04320168495178223,50.14821696281433,0.06808805465698242,0.04320168495178223,50.14821696281433,1,True,4,2,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBM,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.018687009811401367,0.009935617446899414,1.58390474319458,0.018687009811401367,0.009935617446899414,1.58390474319458,1,True,2,2,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMXT,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.01999831199645996,0.007561922073364258,1.31180739402771,0.01999831199645996,0.007561922073364258,1.31180739402771,1,True,1,2,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
RandomForestMSE,-0.90730212772414,-0.8631509685127721,root_mean_squared_error,0.21995806694030762,0.05623459815979004,21.1061589717865,0.21995806694030762,0.05623459815979004,21.1061589717865,1,True,3,2,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
ExtraTreesMSE,-0.9114337318902028,-0.8640229909818908,root_mean_squared_error,0.2218008041381836,0.05635952949523926,18.916409730911255,0.2218008041381836,0.05635952949523926,18.916409730911255,1,True,5,2,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
XGBoost,-0.9342759638327627,-0.8749536470897941,root_mean_squared_error,0.028771162033081055,0.009289979934692383,5.435198783874512,0.028771162033081055,0.009289979934692383,5.435198783874512,1,True,7,2,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMLarge,-0.9570056973598137,-0.9059712574820993,root_mean_squared_error,0.02560114860534668,0.010465860366821289,4.532273530960083,0.02560114860534668,0.010465860366821289,4.532273530960083,1,True,9,2,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
WeightedEnsemble_L2,-0.8736147291252179,-0.7976243224088978,root_mean_squared_error,0.12419700622558594,0.05685615539550781,59.323456048965454,0.002628803253173828,0.0002932548522949219,0.006043434143066406,2,True,10,3,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetFastAI,-0.8909954439271287,-0.848875800394877,root_mean_squared_error,0.037672996520996094,0.018895387649536133,4.011835098266602,0.037672996520996094,0.018895387649536133,4.011835098266602,1,True,6,3,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetTorch,-0.8931560298608999,-0.8289385372676497,root_mean_squared_error,0.02250051498413086,0.007623910903930664,6.829910755157471,0.02250051498413086,0.007623910903930664,6.829910755157471,1,True,8,3,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
CatBoost,-0.8991998097114818,-0.8196499631389951,root_mean_squared_error,0.08014535903930664,0.04126882553100586,51.13828229904175,0.08014535903930664,0.04126882553100586,51.13828229904175,1,True,4,3,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMXT,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.01892232894897461,0.007670164108276367,1.349219560623169,0.01892232894897461,0.007670164108276367,1.349219560623169,1,True,1,3,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBM,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.02133488655090332,0.0104217529296875,1.7247509956359863,0.02133488655090332,0.0104217529296875,1.7247509956359863,1,True,2,3,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
RandomForestMSE,-0.90730212772414,-0.8631509685127721,root_mean_squared_error,0.20658373832702637,0.05603957176208496,20.972732305526733,0.20658373832702637,0.05603957176208496,20.972732305526733,1,True,3,3,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
ExtraTreesMSE,-0.9114337318902028,-0.8640229909818908,root_mean_squared_error,0.22871160507202148,0.06141781806945801,18.78059482574463,0.22871160507202148,0.06141781806945801,18.78059482574463,1,True,5,3,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
XGBoost,-0.9342759638327627,-0.8749536470897941,root_mean_squared_error,0.02820134162902832,0.009853124618530273,6.02056360244751,0.02820134162902832,0.009853124618530273,6.02056360244751,1,True,7,3,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMLarge,-0.9570056973598137,-0.9059712574820993,root_mean_squared_error,0.025029659271240234,0.008573770523071289,4.9174299240112305,0.025029659271240234,0.008573770523071289,4.9174299240112305,1,True,9,3,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
WeightedEnsemble_L2,-0.8736147291252179,-0.7976243224088978,root_mean_squared_error,0.11198186874389648,0.05771040916442871,59.72898244857788,0.0026786327362060547,0.0003426074981689453,0.008333206176757812,2,True,10,4,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetFastAI,-0.8909954439271287,-0.848875800394877,root_mean_squared_error,0.0443723201751709,0.015186309814453125,3.823761463165283,0.0443723201751709,0.015186309814453125,3.823761463165283,1,True,6,4,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetTorch,-0.8931560298608999,-0.8289385372676497,root_mean_squared_error,0.01610112190246582,0.0077304840087890625,6.989851713180542,0.01610112190246582,0.0077304840087890625,6.989851713180542,1,True,8,4,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
CatBoost,-0.8991998097114818,-0.8196499631389951,root_mean_squared_error,0.07545661926269531,0.041997432708740234,51.36803650856018,0.07545661926269531,0.041997432708740234,51.36803650856018,1,True,4,4,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMXT,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.017745494842529297,0.007639884948730469,1.3627610206604004,0.017745494842529297,0.007639884948730469,1.3627610206604004,1,True,1,4,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBM,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.017748117446899414,0.007698774337768555,1.312696933746338,0.017748117446899414,0.007698774337768555,1.312696933746338,1,True,2,4,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
RandomForestMSE,-0.90730212772414,-0.8631509685127721,root_mean_squared_error,0.22059369087219238,0.05748891830444336,20.67380380630493,0.22059369087219238,0.05748891830444336,20.67380380630493,1,True,3,4,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
ExtraTreesMSE,-0.9114337318902028,-0.8640229909818908,root_mean_squared_error,0.2258434295654297,0.056665658950805664,19.054288387298584,0.2258434295654297,0.056665658950805664,19.054288387298584,1,True,5,4,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
XGBoost,-0.9342759638327627,-0.8749536470897941,root_mean_squared_error,0.029300451278686523,0.009400129318237305,5.335236549377441,0.029300451278686523,0.009400129318237305,5.335236549377441,1,True,7,4,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMLarge,-0.9570056973598137,-0.9059712574820993,root_mean_squared_error,0.027430057525634766,0.01028132438659668,4.419363021850586,0.027430057525634766,0.01028132438659668,4.419363021850586,1,True,9,4,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
WeightedEnsemble_L2,-0.8736147291252179,-0.7976243224088978,root_mean_squared_error,0.08759403228759766,0.06484103202819824,59.18554067611694,0.002518177032470703,0.0003762245178222656,0.008734703063964844,2,True,10,5,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetFastAI,-0.8909954439271287,-0.848875800394877,root_mean_squared_error,0.03256964683532715,0.020419836044311523,3.076140880584717,0.03256964683532715,0.020419836044311523,3.076140880584717,1,True,6,5,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetTorch,-0.8931560298608999,-0.8289385372676497,root_mean_squared_error,0.017705202102661133,0.009105920791625977,7.18887734413147,0.017705202102661133,0.009105920791625977,7.18887734413147,1,True,8,5,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
CatBoost,-0.8991998097114818,-0.8196499631389951,root_mean_squared_error,0.04977059364318848,0.047910213470458984,50.55361270904541,0.04977059364318848,0.047910213470458984,50.55361270904541,1,True,4,5,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMXT,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.017600059509277344,0.007448673248291016,1.4343159198760986,0.017600059509277344,0.007448673248291016,1.4343159198760986,1,True,1,5,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBM,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.019994497299194336,0.00920867919921875,1.4128456115722656,0.019994497299194336,0.00920867919921875,1.4128456115722656,1,True,2,5,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
RandomForestMSE,-0.90730212772414,-0.8631509685127721,root_mean_squared_error,0.2138988971710205,0.06747913360595703,21.640737771987915,0.2138988971710205,0.06747913360595703,21.640737771987915,1,True,3,5,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
ExtraTreesMSE,-0.9114337318902028,-0.8640229909818908,root_mean_squared_error,0.2049417495727539,0.05613875389099121,18.79046082496643,0.2049417495727539,0.05613875389099121,18.79046082496643,1,True,5,5,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
XGBoost,-0.9342759638327627,-0.8749536470897941,root_mean_squared_error,0.02685689926147461,0.009308099746704102,5.782278537750244,0.02685689926147461,0.009308099746704102,5.782278537750244,1,True,7,5,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMLarge,-0.9570056973598137,-0.9059712574820993,root_mean_squared_error,0.028287887573242188,0.011962175369262695,4.697948932647705,0.028287887573242188,0.011962175369262695,4.697948932647705,1,True,9,5,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
WeightedEnsemble_L2,-0.8736147291252179,-0.7976243224088978,root_mean_squared_error,0.08730292320251465,0.056488990783691406,58.914453744888306,0.003045797348022461,0.0002944469451904297,0.006408214569091797,2,True,10,6,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetFastAI,-0.8909954439271287,-0.848875800394877,root_mean_squared_error,0.03344273567199707,0.020123004913330078,3.433340072631836,0.03344273567199707,0.020123004913330078,3.433340072631836,1,True,6,6,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetTorch,-0.8931560298608999,-0.8289385372676497,root_mean_squared_error,0.01752328872680664,0.007476806640625,7.353432655334473,0.01752328872680664,0.007476806640625,7.353432655334473,1,True,8,6,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
CatBoost,-0.8991998097114818,-0.8196499631389951,root_mean_squared_error,0.05111074447631836,0.041568756103515625,50.248334884643555,0.05111074447631836,0.041568756103515625,50.248334884643555,1,True,4,6,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBM,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.015348434448242188,0.010113000869750977,1.674626350402832,0.015348434448242188,0.010113000869750977,1.674626350402832,1,True,2,6,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMXT,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.015623092651367188,0.0071489810943603516,1.3062779903411865,0.015623092651367188,0.0071489810943603516,1.3062779903411865,1,True,1,6,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
RandomForestMSE,-0.90730212772414,-0.8631509685127721,root_mean_squared_error,0.21532607078552246,0.06390810012817383,21.270067930221558,0.21532607078552246,0.06390810012817383,21.270067930221558,1,True,3,6,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
ExtraTreesMSE,-0.9114337318902028,-0.8640229909818908,root_mean_squared_error,0.21576428413391113,0.056711673736572266,19.186006784439087,0.21576428413391113,0.056711673736572266,19.186006784439087,1,True,5,6,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
XGBoost,-0.9342759638327627,-0.8749536470897941,root_mean_squared_error,0.024022817611694336,0.011761903762817383,5.564237356185913,0.024022817611694336,0.011761903762817383,5.564237356185913,1,True,7,6,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMLarge,-0.9570056973598137,-0.9059712574820993,root_mean_squared_error,0.019290447235107422,0.00856471061706543,4.833200693130493,0.019290447235107422,0.00856471061706543,4.833200693130493,1,True,9,6,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
WeightedEnsemble_L2,-0.8736147291252179,-0.7976243224088978,root_mean_squared_error,0.0963282585144043,0.061604976654052734,58.473111391067505,0.0035333633422851562,0.0002899169921875,0.0064737796783447266,2,True,10,7,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetFastAI,-0.8909954439271287,-0.848875800394877,root_mean_squared_error,0.04341411590576172,0.04025125503540039,4.130447149276733,0.04341411590576172,0.04025125503540039,4.130447149276733,1,True,6,7,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
NeuralNetTorch,-0.8931560298608999,-0.8289385372676497,root_mean_squared_error,0.017932415008544922,0.007733345031738281,6.781466245651245,0.017932415008544922,0.007733345031738281,6.781466245651245,1,True,8,7,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
CatBoost,-0.8991998097114818,-0.8196499631389951,root_mean_squared_error,0.05943012237548828,0.043363094329833984,50.03447437286377,0.05943012237548828,0.043363094329833984,50.03447437286377,1,True,4,7,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBMXT,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.015432357788085938,0.010218620300292969,1.6506969928741455,0.015432357788085938,0.010218620300292969,1.6506969928741455,1,True,1,7,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
LightGBM,-0.9037924319485665,-0.8389288744663007,root_mean_squared_error,0.016617536544799805,0.0077707767486572266,1.5239157676696777,0.016617536544799805,0.0077707767486572266,1.5239157676696777,1,True,2,7,-0.8736147291252179,-0.7632026949445279,-0.626848365129942,0.6719770302916637,0.8202067952450168,-0.4392316498003317
