Trial,Model,Accuracy,Precision,Recall,F1-score,ROC AUC
1,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
1,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
1,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
1,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
1,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
2,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
2,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
2,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
2,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
2,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
3,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
3,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
3,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
3,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
3,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
4,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
4,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
4,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
4,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
4,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
5,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
5,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
5,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
5,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
5,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
6,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
6,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
6,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
6,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
6,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
7,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
7,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
7,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
7,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
7,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
8,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
8,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
8,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
8,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
8,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
9,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
9,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
9,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
9,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
9,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
10,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
10,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
10,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
10,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
10,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
11,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
11,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
11,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
11,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
11,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
12,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
12,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
12,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
12,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
12,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
13,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
13,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
13,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
13,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
13,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
14,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
14,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
14,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
14,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
14,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
15,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
15,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
15,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
15,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
15,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
16,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
16,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
16,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
16,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
16,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
17,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
17,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
17,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
17,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
17,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
18,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
18,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
18,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
18,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
18,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
19,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
19,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
19,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
19,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
19,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
20,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
20,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
20,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
20,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
20,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
21,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
21,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
21,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
21,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
21,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
22,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
22,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
22,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
22,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
22,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
23,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
23,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
23,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
23,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
23,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
24,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
24,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
24,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
24,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
24,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
25,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
25,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
25,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
25,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
25,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
26,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
26,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
26,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
26,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
26,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
27,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
27,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
27,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
27,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
27,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
28,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
28,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
28,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
28,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
28,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
29,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
29,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
29,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
29,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
29,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
30,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
30,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
30,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
30,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
30,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
31,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
31,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
31,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
31,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
31,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
32,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
32,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
32,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
32,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
32,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
33,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
33,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
33,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
33,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
33,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
34,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
34,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
34,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
34,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
34,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
35,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
35,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
35,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
35,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
35,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
36,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
36,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
36,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
36,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
36,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
37,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
37,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
37,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
37,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
37,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
38,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
38,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
38,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
38,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
38,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
39,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
39,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
39,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
39,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
39,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
40,Logistic Regression,0.9170731707317074,0.8210141813493769,0.8108614232209738,0.8158131176999102,0.9453287557220141
40,Random Forest,0.926829268292683,0.8463888888888889,0.8243341656263005,0.8348195100988397,0.9552642530170619
40,SVM,0.9048780487804878,0.7870197119359471,0.8431127756970453,0.810945979498457,0.9316999583853517
40,Gradient Boosting,0.9195121951219513,0.8341539182931833,0.7965563878485227,0.81368512372795,0.9439502704952143
40,KNN,0.9146341463414634,0.8091409532087499,0.8330212234706617,0.8203802681153071,0.9233770287141074
