trial,dataset,accuracy,model_path,shap_path,shap_plot_path
20,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial20.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial20.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial20.png
21,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial21.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial21.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial21.png
22,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial22.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial22.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial22.png
23,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial23.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial23.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial23.png
24,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial24.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial24.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial24.png
25,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial25.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial25.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial25.png
26,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial26.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial26.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial26.png
27,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial27.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial27.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial27.png
28,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial28.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial28.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial28.png
29,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial29.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial29.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial29.png
30,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial30.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial30.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial30.png
31,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial31.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial31.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial31.png
32,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial32.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial32.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial32.png
33,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial33.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial33.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial33.png
34,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial34.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial34.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial34.png
35,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial35.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial35.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial35.png
36,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial36.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial36.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial36.png
37,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial37.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial37.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial37.png
38,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial38.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial38.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial38.png
39,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial39.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial39.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial39.png
40,ap,0.9317073170731708,/teamspace/studios/this_studio/datasets/xgb/xgboost_ap_trial40.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_ap_trial40.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_ap_trial40.png
1,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial1.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial1.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial1.png
2,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial2.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial2.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial2.png
3,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial3.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial3.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial3.png
4,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial4.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial4.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial4.png
5,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial5.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial5.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial5.png
6,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial6.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial6.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial6.png
7,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial7.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial7.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial7.png
8,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial8.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial8.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial8.png
9,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial9.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial9.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial9.png
10,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial10.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial10.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial10.png
11,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial11.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial11.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial11.png
12,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial12.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial12.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial12.png
13,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial13.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial13.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial13.png
14,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial14.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial14.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial14.png
15,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial15.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial15.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial15.png
16,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial16.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial16.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial16.png
17,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial17.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial17.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial17.png
18,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial18.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial18.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial18.png
19,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial19.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial19.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial19.png
20,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial20.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial20.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial20.png
21,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial21.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial21.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial21.png
22,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial22.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial22.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial22.png
23,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial23.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial23.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial23.png
24,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial24.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial24.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial24.png
25,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial25.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial25.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial25.png
26,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial26.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial26.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial26.png
27,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial27.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial27.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial27.png
28,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial28.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial28.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial28.png
29,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial29.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial29.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial29.png
30,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial30.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial30.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial30.png
31,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial31.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial31.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial31.png
32,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial32.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial32.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial32.png
33,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial33.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial33.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial33.png
34,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial34.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial34.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial34.png
35,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial35.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial35.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial35.png
36,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial36.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial36.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial36.png
37,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial37.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial37.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial37.png
38,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial38.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial38.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial38.png
39,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial39.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial39.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial39.png
40,rdk5,0.9292682926829269,/teamspace/studios/this_studio/datasets/xgb/xgboost_rdk5_trial40.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_values_rdk5_trial40.pkl,/teamspace/studios/this_studio/datasets/xgb/shap_summary_rdk5_trial40.png
